10,"※大項目","地域コード","地域識別コード","境域年次(2010)","境域年次(2000)","","人口　平成22年　(a)","人口　平成17年（組替） 2)","平成17年〜22年の人口増減数 2)","平成17年〜22年の人口増減率（％） 2)","面積（km2）　(b) 1)2)","人口密度"
11,"","00000","a","2010","2000","全国",128057352,127767994,289358,0.2264714276,377950.10,343.4
12,"","00001","b","2010","2000","全国 市部",116156631,115503691,652940,0.5652979523,216209.27,537.5
13,"","00002","b","2010","2000","全国 郡部",11900721,12264303,-363582,-2.9645549364,161654.94,75.9
14,"","01000","a","2010","2000","北海道",5506419,5627737,-121318,-2.1557155212,83456.87,70.2
15,"","01001","b","2010","2000","北海道 市部",4449360,4503624,-54264,-1.2048963235,18540.30,241.3
16,"","01002","b","2010","2000","北海道 郡部",1057059,1124113,-67054,-5.9650586729,64858.83,17.6
17,"","01100","1","2010","2000","札幌市",1913545,1880863,32682,1.7376066199,1121.12,1706.8
18,"","01101","0","2010","2000","札幌市 中央区",220189,202801,17388,8.5739222193,46.42,4743.4
19,"","01102","0","2010","2000","札幌市 北区",278781,272877,5904,2.1636121769,63.48,4391.6
20,"","01103","0","2010","2000","札幌市 東区",255873,253996,1877,0.7389880156,57.13,4478.8
21,"","01104","0","2010","2000","札幌市 白石区",204259,201307,2952,1.4664169651,34.58,5906.9
22,"","01105","0","2010","2000","札幌市 豊平区",212118,209428,2690,1.2844509808,46.35,4576.4
23,"","01106","0","2010","2000","札幌市 南区",146341,153021,-6680,-4.3654138974,657.23,222.7
24,"","01107","0","2010","2000","札幌市 西区",211229,207329,3900,1.8810682538,74.93,2819.0
25,"","01108","0","2010","2000","札幌市 厚別区",128492,129720,-1228,-0.9466543324,24.38,5270.4
26,"","01109","0","2010","2000","札幌市 手稲区",139644,137601,2043,1.4847275819,56.92,2453.3
27,"","01110","0","2010","2000","札幌市 清田区",116619,112783,3836,3.4012218153,59.70,1953.4
28,"","01202","2","2010","","函館市",279127,294264,-15137,-5.1440203355,677.93,411.7
29,"","01202","9","","2000","　　(旧 202 函館市)",265357,278584,-13227,-4.7479395802,346.90,764.9
30,"","01202","9","","2000","　　(旧 339 戸井町)",3128,3496,-368,-10.5263157895,53.04,59.0
31,"","01202","9","","2000","　　(旧 340 恵山町)",3553,4112,-559,-13.5943579767,94.27,37.7
32,"","01202","9","","2000","　　(旧 341 椴法華村)",1095,1318,-223,-16.9195751138,24.92,43.9
33,"","01202","9","","2000","　　(旧 342 南茅部町)",5994,6754,-760,-11.2525910572,158.35,37.9
34,"","01203","2","2010","2000","小樽市",131928,142161,-10233,-7.1981767151,243.30,542.2
35,"","01204","2","2010","2000","旭川市",347095,355004,-7909,-2.2278622213,747.60,464.3
36,"","01205","2","2010","2000","室蘭市",94535,98372,-3837,-3.9005001423,80.65,1172.2
37,"","01206","2","2010","","釧路市",181169,190478,-9309,-4.8871785718,1362.75,132.9
38,"","01206","9","","2000","　　(旧 206 釧路市)",173278,181516,-8238,-4.5384428921,221.61,781.9
39,"","01206","9","","2000","　　(旧 666 阿寒町)",5540,6330,-790,-12.4802527646,739.37,7.5
40,"","01206","9","","2000","　　(旧 669 音別町)",2351,2632,-281,-10.6762917933,401.40,5.9
41,"","01207","2","2010","2000","帯広市",168057,170580,-2523,-1.4790714034,618.94,271.5
42,"","01208","2","2010","","北見市",125689,129365,-3676,-2.8415722954,1427.56,88.0
43,"","01208","9","","2000","　　(旧 208 北見市)",108632,110715,-2083,-1.8814072167,421.08,258.0
44,"","01208","9","","2000","　　(旧 548 端野町)",5215,5469,-254,-4.6443591150,163.50,31.9
45,"","01208","9","","2000","　　(旧 551 留辺蘂町)",7449,8400,-951,-11.3214285714,564.69,13.2
46,"","01208","9","","2000","　　(旧 553 常呂町)",4393,4781,-388,-8.1154570174,278.29,15.8
47,"","01209","2","2010","2000","夕張市",10922,13001,-2079,-15.9910776094,763.20,14.3
